Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_AppRegression,,,2018-09-05 16:37:21,2018-09-05 16:46:39,"9m - 17,994s",FAILED
,,,,,,
Test Cases/App/Android/TC/TC__List1,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:37:21,2018-09-05 16:38:03,"42,535s",PASSED
callTestCase,,,2018-09-05 16:37:21,2018-09-05 16:37:58,"36,825s",PASSED
callTestCase,,,2018-09-05 16:37:58,2018-09-05 16:38:00,"2,227s",PASSED
callTestCase,,,2018-09-05 16:38:00,2018-09-05 16:38:03,"3,252s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__CompleateList,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:38:03,2018-09-05 16:38:42,"38,595s",PASSED
callTestCase,,,2018-09-05 16:38:03,2018-09-05 16:38:37,"33,138s",PASSED
callTestCase,,,2018-09-05 16:38:37,2018-09-05 16:38:39,"1,958s",PASSED
callTestCase,,,2018-09-05 16:38:39,2018-09-05 16:38:42,"3,383s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List10,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:38:42,2018-09-05 16:39:20,"37,524s",PASSED
callTestCase,,,2018-09-05 16:38:42,2018-09-05 16:39:14,"32,004s",PASSED
callTestCase,,,2018-09-05 16:39:14,2018-09-05 16:39:16,"1,995s",PASSED
callTestCase,,,2018-09-05 16:39:16,2018-09-05 16:39:20,"3,389s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List11,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:39:20,2018-09-05 16:40:09,"49,082s",PASSED
callTestCase,,,2018-09-05 16:39:20,2018-09-05 16:40:03,"43,492s",PASSED
callTestCase,,,2018-09-05 16:40:03,2018-09-05 16:40:05,"2,042s",PASSED
callTestCase,,,2018-09-05 16:40:05,2018-09-05 16:40:09,"3,462s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List2,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:40:09,2018-09-05 16:40:47,"37,918s",PASSED
callTestCase,,,2018-09-05 16:40:09,2018-09-05 16:40:41,"31,913s",PASSED
callTestCase,,,2018-09-05 16:40:41,2018-09-05 16:40:43,"2,122s",PASSED
callTestCase,,,2018-09-05 16:40:43,2018-09-05 16:40:43,"0,428s",PASSED
callTestCase,,,2018-09-05 16:40:43,2018-09-05 16:40:47,"3,339s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List3,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:40:47,2018-09-05 16:41:25,"38,350s",PASSED
callTestCase,,,2018-09-05 16:40:47,2018-09-05 16:41:19,"32,551s",PASSED
callTestCase,,,2018-09-05 16:41:19,2018-09-05 16:41:21,"2,037s",PASSED
callTestCase,,,2018-09-05 16:41:21,2018-09-05 16:41:22,"0,423s",PASSED
callTestCase,,,2018-09-05 16:41:22,2018-09-05 16:41:25,"3,259s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List4,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:41:25,2018-09-05 16:42:06,"41,324s",PASSED
callTestCase,,,2018-09-05 16:41:25,2018-09-05 16:42:00,"35,124s",PASSED
callTestCase,,,2018-09-05 16:42:00,2018-09-05 16:42:02,"2,423s",PASSED
callTestCase,,,2018-09-05 16:42:02,2018-09-05 16:42:03,"0,390s",PASSED
callTestCase,,,2018-09-05 16:42:03,2018-09-05 16:42:06,"3,302s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List5,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:42:06,2018-09-05 16:42:53,"46,780s",PASSED
callTestCase,,,2018-09-05 16:42:06,2018-09-05 16:42:48,"41,588s",PASSED
callTestCase,,,2018-09-05 16:42:48,2018-09-05 16:42:50,"1,986s",PASSED
callTestCase,,,2018-09-05 16:42:50,2018-09-05 16:42:50,"0,344s",PASSED
callTestCase,,,2018-09-05 16:42:50,2018-09-05 16:42:53,"2,773s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List6,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:42:53,2018-09-05 16:43:41,"48,286s",PASSED
callTestCase,,,2018-09-05 16:42:53,2018-09-05 16:43:36,"42,513s",PASSED
callTestCase,,,2018-09-05 16:43:36,2018-09-05 16:43:37,"1,922s",PASSED
callTestCase,,,2018-09-05 16:43:37,2018-09-05 16:43:38,"0,409s",PASSED
callTestCase,,,2018-09-05 16:43:38,2018-09-05 16:43:41,"3,349s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List7,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:43:41,2018-09-05 16:44:29,"47,835s",PASSED
callTestCase,,,2018-09-05 16:43:41,2018-09-05 16:44:24,"42,437s",PASSED
callTestCase,,,2018-09-05 16:44:24,2018-09-05 16:44:26,"2,046s",PASSED
callTestCase,,,2018-09-05 16:44:26,2018-09-05 16:44:26,"0,267s",PASSED
callTestCase,,,2018-09-05 16:44:26,2018-09-05 16:44:29,"3,006s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List8,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:44:29,2018-09-05 16:45:19,"49,922s",PASSED
callTestCase,,,2018-09-05 16:44:29,2018-09-05 16:45:13,"44,127s",PASSED
callTestCase,,,2018-09-05 16:45:13,2018-09-05 16:45:15,"2,020s",PASSED
callTestCase,,,2018-09-05 16:45:15,2018-09-05 16:45:16,"0,371s",PASSED
callTestCase,,,2018-09-05 16:45:16,2018-09-05 16:45:19,"3,318s",PASSED
,,,,,,
Test Cases/App/Android/TC/TC__List9,,Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum Lorem Ipsum,2018-09-05 16:45:19,2018-09-05 16:46:36,"1m - 16,808s",FAILED
callTestCase,,,2018-09-05 16:45:19,2018-09-05 16:46:02,"43,093s",PASSED
callTestCase,,,2018-09-05 16:46:02,2018-09-05 16:46:04,"1,983s",PASSED
callTestCase,,,2018-09-05 16:46:04,2018-09-05 16:46:36,"31,650s",FAILED
